trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
2009/2/5,-0.011102219,-0.00293262,-0.002398011,-0.005191943,0.011148454,0.0027429,0.000061,-0.000520363,-0.004435757,-0.002443562,0.002655536,0.004784403
2009/2/6,0.043520933,0.002660212,0.003810669,-0.019387033,0.001688873,0.000172132,0.000061,0.000155483,0.003498102,-0.017125794,0.003054062,-0.002345437
2009/2/9,0.03295446,-0.002732131,-0.007090554,-0.015603042,0.011763002,-0.006823035,0.000061,-0.004704465,-0.004765672,-0.011100116,0.009855003,-0.005596855
2009/2/10,0.022638129,0.007118496,0.001792267,-0.013750948,-0.006162228,0.00538912,0.000061,0.001725525,0.002178738,-0.014326108,-0.002488641,-0.000297521
2009/2/11,0.000501921,-0.000650708,-0.000507402,0.00513693,-0.002711125,0.005316576,0.000061,-0.001097342,0.000890879,-0.002511351,-0.005180126,0.003219595
2009/2/12,0.008272461,0.013972198,0.004801607,0.002117769,-0.027761108,0.010684444,0.000061,0.00542986,0.005585299,-0.001228594,-0.012032488,0.005049017
2009/2/13,0.036185815,-0.000849107,0.002335049,-0.014391878,-0.002745963,-0.001844142,0.000061,-0.001006835,0.003441773,-0.012404966,0.003731862,-0.001423702
2009/2/16,0.020270968,-0.003008544,0.00801623,-0.022003035,0.006049403,-0.000028378,0.000061,-0.000741909,0.00452542,-0.014934005,-0.006040764,0.003685117
2009/2/17,-0.03574736,-0.006472892,-0.008129948,0.0124702,0.002026595,0.000417523,0.000061,-0.002847313,-0.006790346,0.006564674,-0.001382172,0.002411255
2009/2/18,-0.043902379,0.0053708,-0.001921697,0.01825506,-0.004350444,0.005476076,0.000061,0.001875494,-0.000919984,0.015390165,-0.000894325,0.00595429
2009/2/19,0.020239513,-0.000070528,0.005430079,0.004020952,-0.001424312,-0.003148798,0.000061,0.000903185,0.003993309,0.00549118,0.000485774,-0.003909521
2009/2/20,0.027741504,0.00794919,0.001857331,-0.008962544,-0.008591156,0.002119429,0.000061,0.002082254,0.003276497,-0.004302222,-0.000238278,-0.000935027
2009/2/23,0.02900985,0.007067421,0.004211407,0.000167043,-0.013323733,-0.001697584,0.000061,0.002354898,0.005914666,-0.006528645,-0.003914266,-0.002431873
2009/2/24,-0.039956677,0.000959676,0.003065058,0.007172524,-0.007445146,0.001241604,0.000061,0.000228996,0.003757796,-0.001530912,-0.003473287,-0.002229906
2009/2/25,-0.00360622,0.017920195,0.009910146,-0.005536604,-0.013766366,0.01375351,0.000061,0.011845464,0.009256183,-0.000834512,-0.00859698,0.007983946
2009/2/26,-0.061419722,-0.007078661,-0.002526415,0.003514018,0.014484834,0.003427895,0.000061,0.002620057,-0.004470379,-0.000610112,-0.00330243,0.007464006
2009/2/27,-0.045252873,-0.025926908,-0.006042495,0.030295118,0.023069932,-0.009923186,0.000061,-0.011677349,-0.006220851,0.018482587,0.009158605,-0.00004879
2009/3/2,0.020659587,0.004767457,0.006035118,0.003199468,-0.011192306,-0.007397022,0.000061,0.0007594,0.006339955,0.003119742,-0.001993902,-0.00437918
2009/3/3,0.001673676,0.008879163,0.006491607,0.007779429,-0.012429907,0.00845777,0.000061,0.003050337,0.005596878,0.012836002,-0.003220568,0.00750507
2009/3/4,0.061581926,-0.002680017,-0.004013596,-0.013009715,0.005045416,-0.007184171,0.000061,-0.004109844,-0.003132538,-0.012451779,0.004436939,-0.006787665
2009/3/5,0.004819865,0.009416275,0.00799869,-0.011121701,-0.001918402,0.002268084,0.000061,0.008513122,0.004299961,-0.013099829,-0.001401175,-0.002288714
2009/3/6,-0.008266635,0.004353232,0.000424222,-0.008661988,-0.003507195,-0.005628174,0.000061,0.002708467,0.001506364,-0.011984035,-0.001966619,-0.000409923
2009/3/9,-0.040263111,-0.003557649,-0.004574179,0.00300606,0.006189452,-0.004495623,0.000061,0.002163201,-0.00315325,0.00495751,0.002100894,-0.001160643
2009/3/10,0.021394254,0.007275191,-0.000792658,-0.004699859,-0.003821817,0.004677919,0.000061,0.004096318,0.000726311,-0.005439402,-0.002436435,0.001847775
2009/3/11,-0.00693219,0.006506374,-0.001691544,0.000662298,0.000444018,0.006037841,0.000061,0.006004301,-0.00366071,-0.001569161,-0.004721771,0.006092661
2009/3/12,-0.00021807,0.005103677,0.002484137,-0.004023568,-0.007215912,0.001448692,0.000061,0.001665662,0.001420942,-0.003790448,-0.003422734,-0.000297114
2009/3/13,-0.007108484,-0.000950267,-0.006213184,0.005864374,0.004497944,-0.001859399,0.000061,0.001894223,-0.006573681,0.005400276,0.001314664,-0.000528944
2009/3/16,0.013037763,0.003209769,-0.001028806,-0.005368348,-0.004592544,-0.004067982,0.000061,0.002430404,-0.000771573,-0.003644511,-0.003009455,-0.002375631
2009/3/17,0.037926984,-0.003706546,-0.002455743,-0.009497452,0.005947208,-0.010075311,0.000061,-0.003994419,-0.000663597,-0.00741118,0.006848613,-0.007629895
2009/3/18,0.010700245,-0.001204589,-0.002226683,-0.007387049,0.002745159,-0.006418973,0.000061,-0.004203919,-0.002467933,-0.005530428,0.005617975,-0.00490174
2009/3/19,0.022932052,-0.00116618,-0.00478825,-0.00727722,0.001317796,0.00166345,0.000061,-0.002681788,-0.002342925,-0.007048787,0.001863846,0.001312581
2009/3/20,0.000250568,-0.009321381,-0.006689229,-0.009928151,0.014965676,-0.004299702,0.000061,-0.006104304,-0.007611695,-0.006556037,0.009500003,-0.003743044
2009/3/23,0.022567416,-0.002566744,0.000231191,-0.004631583,-0.001131645,-0.009265146,0.000061,-0.00183546,0.001318136,-0.003476932,0.000103912,-0.004799547
2009/3/24,0.007112075,0.001706518,0.001534801,0.003217854,-0.006169682,0.00147485,0.000061,0.001497803,-0.000850429,0.000172645,-0.003526814,-0.000267703
2009/3/25,-0.026111732,0.00693457,-0.005983415,0.004577034,-0.000733347,0.004324598,0.000061,0.00596926,-0.00705015,0.00257633,-0.001117421,0.006954835
2009/3/26,0.027545536,-0.001400348,-0.001256723,-0.014141666,0.000540539,-0.000948473,0.000061,0.000412261,-0.002184991,-0.008389291,0.000743953,-0.000407083
2009/3/27,0.010600935,-0.00069847,0.005170777,-0.004366143,-0.002204293,0.004221641,0.000061,0.001082642,0.003512927,-0.004463301,-0.005026634,0.002939375
2009/3/30,-0.003006282,0.011570473,-0.000959291,0.006292318,-0.016484413,0.010683579,0.000061,0.009372037,-0.000868591,0.000955995,-0.011850127,0.006525631
2009/3/31,0.008975262,-0.000849777,-0.000784561,0.003925813,-0.009458294,-0.00099829,0.000061,-0.001918677,-0.000472912,-0.002962913,-0.003279639,-0.001517596
2009/4/1,0.018218273,0.000577292,-0.003950091,-0.014747005,0.007236989,-0.006213955,0.000061,-0.000551334,-0.002298349,-0.010527301,0.004206516,-0.003254216
2009/4/2,0.005446071,-0.004749559,-0.002685176,-0.006785908,0.009792198,-0.008499638,0.000061,-0.002599346,-0.002013553,-0.003333539,0.005878491,-0.004275363
